step= 0  t=0.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 1  t=1.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 2  t=2.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 3  t=3.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 4  t=4.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 5  t=5.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 6  t=6.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 7  t=7.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 8  t=8.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 9  t=9.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 10  t=10.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 11  t=11.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 12  t=12.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
